id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,qNone_PassEndY,qNone_Length,qNone_PassEndX,qNone_Angle,qNone_Zone,qNone_Longball,qNone_Defensive,qNone_OppositeRelatedEvent,qNone_Offensive,qNone_Chipped,qNone_LeftFoot,qNone_Cross,qNone_Head,qNone_MissLeft,qNone_MissRight,qNone_CornerTaken,qNone_RightFoot,qNone_ThrowIn,qNone_OverRun,qNone_LayOff,qNone_GoalKick,qNone_PlayerCaughtOffside,qNone_FreekickTaken,qNone_IndirectFreekickTaken,qNone_Foul,qNone_HeadPass,qNone_MissHigh,qNone_StandingSave,qNone_IntentionalAssist,qNone_ShotAssist,qNone_BigChanceCreated,qNone_KeyPass,qNone_GoalMouthY,qNone_BoxCentre,qNone_FirstTouch,qNone_FromCorner,qNone_BigChance,qNone_RelatedEventId,qNone_Assisted,qNone_GoalMouthZ,qNone_KeeperThrow,qNone_SmallBoxCentre,qNone_RegularPlay,qNone_Blocked,qNone_BlockedY,qNone_BlockedX,qNone_LowRight,qNone_OutfielderBlock,qNone_GoalDisallowed,qNone_LeadingToAttempt,qNone_OutOfBoxCentre,qNone_IndividualPlay,qNone_HighClaim,qNone_LowLeft,qNone_LowCentre,qNone_Volley,qNone_Throughball,qNone_IntentionalGoalAssist,qNone_BlockedCross,qNone_LeadingToGoal,qNone_FastBreak,qNone_BoxLeft,qNone_Yellow,qNone_HighCentre,qNone_SetPiece,qNone_ParriedSafe,qNone_Hands,qNone_KeeperSaveInTheBox,qNone_PlayerPosition,qNone_JerseyNumber,qNone_FormationSlot,qNone_InvolvedPlayers,qNone_TeamPlayerFormation,qNone_CaptainPlayerId,qNone_TeamFormation,qNone_DivingSave,qNone_HighRight,qNone_DirectFreekick,qNone_BoxRight,qNone_Collected
2835689609.00,11,0,34.00,167,33.90,62.00,0,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 37, 216, 218]",True,422939.00,43.00,77.90,,,,,,,,,,77.9,14.4,43.0,0.85,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689657.00,12,0,37.00,167,47.90,82.20,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 36, 37, 216, 218]",True,136741.00,62.50,97.50,,,,,,,,,,97.5,18.5,62.5,0.60,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689681.00,13,0,41.00,167,71.60,82.10,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,388098.00,67.10,72.10,,,,,,,,,,72.1,8.3,67.1,4.11,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689829.00,14,0,44.00,167,68.70,68.30,0,FirstHalf,Pass,Successful,"[91, 119, 117, 127, 205, 36, 38, 217, 218]",True,422939.00,75.40,17.20,,,,,,,,,,17.2,35.5,75.4,4.91,Right,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689873.00,15,0,51.00,167,75.20,18.00,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,430709.00,67.70,32.50,,,,,,,,,,32.5,12.6,67.7,2.24,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689897.00,16,0,54.00,167,67.10,33.30,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 35, 37, 216, 218]",True,101374.00,60.70,51.50,,,,,,,,,,51.5,14.1,60.7,2.07,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689931.00,17,0,56.00,167,56.70,53.00,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 35, 37, 216, 218]",True,313171.00,54.10,72.70,,,,,,,,,,72.7,13.7,54.1,1.77,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690031.00,18,0,59.00,167,47.60,70.30,0,FirstHalf,Pass,Successful,"[91, 117, 127, 35, 38, 215, 218]",True,355401.00,15.90,63.90,,,,,,,,,,63.9,33.6,15.9,3.27,Back,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690167.00,19,1,11.00,167,19.60,61.10,1,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 38, 215, 218]",True,404852.00,27.10,39.50,,,,,,,,,,39.5,16.7,27.1,5.20,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690175.00,20,1,12.00,167,28.50,37.50,1,FirstHalf,Pass,Unsuccessful,"[91, 118, 120, 29, 124, 36, 37, 215, 218]",True,313171.00,32.70,38.90,,,,,,,,,,38.9,4.5,32.7,0.21,Back,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690193.00,5,1,13.00,161,67.00,53.10,1,FirstHalf,BallTouch,Successful,[91],True,333048.00,,,,,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690309.00,21,1,17.00,167,59.00,61.30,1,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 124, 205, 36, 37, 217, 218]",True,136741.00,69.10,83.60,,,,,,,,,,83.6,18.5,69.1,0.96,Left,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690349.00,22,1,23.00,167,94.20,83.10,1,FirstHalf,Pass,Unsuccessful,"[91, 138, 124, 126, 36, 38, 217, 218]",True,388098.00,96.40,38.20,,,,,,,,,,38.2,30.6,96.4,4.79,Center,,,,,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690353.00,7,1,26.00,161,4.60,59.90,1,FirstHalf,Clearance,Successful,"[91, 94, 95, 57, 215]",True,415341.00,0.00,78.70,,,,,,,,,,78.7,14.3,0.0,2.03,Back,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690375.00,8,1,26.00,161,4.10,59.90,1,FirstHalf,CornerAwarded,Unsuccessful,[122],False,415341.00,,,,,,,,,,,,,,,,Back,,,23,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690357.00,23,1,26.00,167,99.20,25.60,1,FirstHalf,CornerAwarded,Successful,[122],False,388098.00,,,,,,,,,,,,,,,,Center,,,8,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690851.00,24,1,54.00,167,99.50,0.50,1,FirstHalf,Pass,Unsuccessful,"[91, 138, 124, 126, 31, 33, 34, 35, 37, 217, 218]",True,136741.00,96.80,47.50,,,,,,,,,,47.5,32.1,96.8,1.66,Center,1.00,,,,1.00,1.00,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835690879.00,9,1,56.00,161,2.70,52.20,1,FirstHalf,Clearance,Successful,"[91, 94, 95, 57, 215]",True,333048.00,23.60,85.10,,,,,,,,,,85.1,31.3,23.6,0.80,Back,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691021.00,25,2,0.00,167,76.20,15.30,2,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,343382.00,82.90,4.20,,,,,,,,,,4.2,10.3,82.9,5.46,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691047.00,26,2,7.00,167,95.50,10.00,2,FirstHalf,Pass,Unsuccessful,"[91, 137, 126, 35, 37, 217, 218]",True,136741.00,91.40,42.40,,,,,,,,,,42.4,22.4,91.4,1.76,Center,,,,,,,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691077.00,11,2,8.00,161,10.20,64.30,2,FirstHalf,Clearance,Successful,"[91, 94, 95, 215]",True,333048.00,19.20,100.00,,,,,,,,,,100.0,27.3,19.2,1.22,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691249.00,28,2,16.00,167,74.90,0.00,2,FirstHalf,Pass,Successful,"[91, 212, 35, 37, 216]",True,430709.00,48.40,13.60,,,,,,,,,,13.6,29.8,48.4,2.78,Back,1.00,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691327.00,29,2,21.00,167,47.40,18.50,2,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 36, 38, 216, 218]",True,444791.00,59.10,4.50,,,,,,,,,,4.5,15.5,59.1,5.62,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
