playerId,shirtNo,name,position,height,weight,age,isFirstEleven,isManOfTheMatch,field,subbedInPlayerId,subbedOutPeriod,subbedOutExpandedMinute,subbedInPeriod,subbedInExpandedMinute,subbedOutPlayerId,s_totalSaves,s_parriedDanger,s_claimsHigh,s_possession,s_ratings,s_touches,s_passesTotal,s_passesAccurate,s_clearances,s_passesKey,s_cornersTotal,s_throwInsTotal,s_throwInsAccurate,s_tacklesTotal,s_tackleUnsuccesful,s_dribbledPast,s_dribblesWon,s_dribblesAttempted,s_dribblesLost,s_dispossessed,s_shotsTotal,s_shotsBlocked,s_interceptions,s_aerialsTotal,s_aerialsWon,s_offensiveAerials,s_foulsCommited,s_tackleSuccessful,s_shotsOffTarget,s_defensiveAerials,s_cornersAccurate,s_shotsOnPost,s_shotsOnTarget,teamId,s_offsidesCaught,s_errors,s_passSuccess,s_dribbleSuccess,s_tackleSuccess,s_aerialSuccess,s_throwInAccuracy
332823,1,Unai Simón,GK,190,88,28,1.0,False,home,,,,,,,4.00,4.00,2.00,1.23,6.34,44.00,34.00,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,44.12,,,,
422820,12,Jesús Areso,DR,182,81,26,1.0,False,home,345908.00,"{'value': 2, 'displayName': 'SecondHalf'}",85.00,,,,,,,1.10,6.38,40.00,21.00,17.00,1.00,2.00,2.00,11.00,8.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,,,,,,,,,,,,,,53,,,80.95,50.00,,,72.73
357839,3,Dani Vivian,DC,183,78,26,1.0,False,home,,,,,,,,,,1.39,6.37,62.00,49.00,38.00,3.00,,,,,3.00,1.00,1.00,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,,,,,,53,,,77.55,,66.67,100.00,
402663,4,Aitor Paredes,DC,186,76,25,1.0,False,home,,,,,,,,,,1.40,6.15,63.00,56.00,43.00,3.00,,,,,2.00,1.00,1.00,,,,,1.00,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,,53,,,76.79,,50.00,100.00,
56057,17,Yuri Berchiche,DL,181,79,35,1.0,False,home,,,,,,,,,,1.39,6.21,62.00,40.00,35.00,4.00,,2.00,7.00,6.00,,,,,,,,1.00,1.00,,,,,,,,,,,,53,,,87.50,,,,85.71
106586,16,Íñigo Ruíz de Galarreta,DMC,175,69,32,1.0,False,home,261516.00,"{'value': 2, 'displayName': 'SecondHalf'}",80.00,,,,,,,1.32,6.29,45.00,33.00,27.00,1.00,,1.00,,,2.00,,,1.00,2.00,1.00,,1.00,1.00,,2.00,1.00,2.00,1.00,2.00,,,,,,53,,,81.82,50.00,100.00,50.00,
511120,18,Mikel Jauregizar,DMC,177,74,21,1.0,False,home,,,,,,,,,,1.46,6.37,47.00,36.00,32.00,,1.00,,,,2.00,,,,2.00,2.00,,,,2.00,,,,,2.00,,,,,,53,,,88.89,,100.00,,
255182,9,Iñaki Williams,AMR,186,81,31,1.0,False,home,,,,,,,,,,1.19,6.15,29.00,18.00,15.00,,2.00,1.00,,,2.00,1.00,1.00,,2.00,2.00,2.00,1.00,1.00,,1.00,,,1.00,1.00,,1.00,,,,53,,,83.33,,50.00,,
238899,7,Alex Berenguer,AMC,175,73,30,1.0,False,home,400237.00,"{'value': 2, 'displayName': 'SecondHalf'}",69.00,,,,,,,1.19,6.27,37.00,18.00,15.00,,1.00,1.00,,,1.00,,,2.00,4.00,2.00,,2.00,2.00,,3.00,,2.00,,1.00,,1.00,2.00,,,53,,,83.33,50.00,100.00,,
408449,10,Nico Williams,AML,181,67,23,1.0,True,home,560362.00,"{'value': 2, 'displayName': 'SecondHalf'}",85.00,,,,,,,1.42,7.65,62.00,34.00,27.00,,3.00,3.00,,,1.00,1.00,1.00,8.00,14.00,6.00,,4.00,2.00,,,,,2.00,,1.00,,3.00,1.00,1.00,53,,,79.41,57.14,,,
541704,21,Maroan Sannadi,FW,192,78,24,1.0,False,home,362602.00,"{'value': 2, 'displayName': 'SecondHalf'}",69.00,,,,,,,1.20,6.44,25.00,17.00,14.00,,1.00,,,,1.00,1.00,1.00,,1.00,1.00,,2.00,,,2.00,,,1.00,,1.00,2.00,,,1.00,53,,,82.35,,,,
261516,6,Mikel Vesga,Sub,191,83,32,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",80.00,106586.00,,,,1.40,6.23,8.00,7.00,5.00,,,,,,,,,,,,,,,,2.00,2.00,,,,,2.00,,,,53,,,71.43,,,100.00,
345908,2,Andoni Gorosabel,Sub,174,70,29,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",85.00,422820.00,,,,1.33,6.00,8.00,4.00,3.00,,,,3.00,2.00,,,,,,,,,,,,,,,,,,,,,53,,,75.00,,,,66.67
362602,11,Gorka Guruzeta,Sub,188,77,28,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",69.00,541704.00,,,,1.25,6.01,15.00,10.00,8.00,,,,,,1.00,,,,,,,,,1.00,2.00,,2.00,,1.00,,,,,,53,,,80.00,,100.00,,
400237,23,Robert Navarro,Sub,178,65,23,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",69.00,238899.00,,,,1.33,6.55,17.00,7.00,5.00,,,,,,,,,,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,,1.00,,,1.00,,,1.00,53,,,71.43,,,100.00,
560362,30,Alejandro Rego,Sub,192,0,22,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",85.00,408449.00,,,,1.50,6.16,8.00,3.00,3.00,,,,,,1.00,,,,,,1.00,,,1.00,,,,,1.00,,,,,,53,,,100.00,,100.00,,
291686,15,Íñigo Lekue,Sub,180,70,32,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,
392383,13,Unai Vencedor,Sub,176,71,24,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,
423109,22,Nico Serrano,Sub,181,72,22,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,
449383,27,Álex Padilla,Sub,190,83,21,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,
463431,25,Urko Izeta,Sub,175,70,25,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,
515307,19,Adama Boiro,Sub,183,75,23,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,
575503,34,Jon de Luis,Sub,183,0,22,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,
39187,13,Ørjan Nyland,GK,192,90,34,1.0,False,away,,,,,,,,,,1.38,5.65,43.00,35.00,23.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,67,,,65.71,,,,
395187,16,Juanlu Sánchez,DR,183,68,22,1.0,False,away,,,,,,,,,,1.36,5.88,67.00,48.00,42.00,3.00,1.00,,6.00,5.00,8.00,5.00,5.00,1.00,1.00,,,,,,1.00,,1.00,3.00,3.00,,,,,,67,1.00,,87.50,100.00,37.50,,83.33
431509,4,Kike Salas,DC,188,80,23,1.0,False,away,,,,,,,,,,1.67,6.54,93.00,75.00,60.00,6.00,1.00,,1.00,1.00,3.00,1.00,1.00,,,,,,,1.00,5.00,5.00,3.00,1.00,2.00,,2.00,,,,67,,,80.00,,66.67,100.00,100.00
